edge_id,source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,origin,source_ref,note
e0001,1,141,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:2,Kai route is taken whenever the discipline is available.
e0002,1,85,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(1, 85)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:3,Choice among routes remaining when the Kai route is unavailable.
e0003,1,275,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(1, 275)",,,neutral,neutral,neutral,auto,LW01_e_edges.csv:4,Choice among routes remaining when the Kai route is unavailable.
e0004,2,343,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:5,
e0005,2,276,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:6,
e0006,3,196,profile_choice,profile_choice,,,,,reckless,neutral,neutral,auto,LW01_e_edges.csv:7,
e0007,3,144,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:8,
e0008,4,218,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,auto,LW01_e_edges.csv:9,Kai route is taken whenever the discipline is available.
e0009,4,75,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(4, 75)",,,cautious,neutral,tactical,auto,LW01_e_edges.csv:10,Choice among routes remaining when the Kai route is unavailable.
e0010,4,175,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(4, 175)",,,reckless,neutral,tactical,auto,LW01_e_edges.csv:11,Choice among routes remaining when the Kai route is unavailable.
e0011,5,111,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:12,
e0012,6,183,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:13,
e0013,6,200,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:14,
e0014,7,108,random,constant,0.3,,,,,,,auto,LW01_e_edges.csv:15,
e0015,7,25,random,constant,0.7,,,,,,,auto,LW01_e_edges.csv:16,
e0016,8,70,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:17,
e0017,9,236,state_condition,formula,,"condition_available(""has_item"", ""Vordak Gem"")",has_item,Vordak Gem,,,,auto,LW01_e_edges.csv:18,Route is taken when the persistent-state condition is available.
e0018,9,292,state_condition,formula,,"1 - condition_available(""has_item"", ""Vordak Gem"")",has_item_absent,Vordak Gem,,,,auto,LW01_e_edges.csv:19,Complementary route when the persistent condition is false.
e0019,10,115,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:20,
e0020,10,83,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:21,
e0021,11,139,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:22,
e0022,12,262,state_condition,formula,,"condition_available(""gold_crowns_at_least"", ""10"")",gold_crowns_at_least,10,,,,auto,LW01_e_edges.csv:23,Route is taken when the persistent-state condition is available.
e0023,12,247,state_condition,formula,,"1 - condition_available(""gold_crowns_at_least"", ""10"")",gold_crowns_at_least_absent,10,,,,auto,LW01_e_edges.csv:24,Complementary route when the persistent condition is false.
e0024,13,307,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:25,
e0025,13,213,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:26,
e0026,14,43,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:27,
e0027,14,106,profile_choice,profile_choice,,,,,cautious,neutral,physical,auto,LW01_e_edges.csv:28,
e0028,15,207,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:29,
e0029,15,201,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:30,
e0030,15,35,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:31,
e0031,16,192,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:32,
e0032,17,53,combat,formula,,combat_win(17) * 0.1,,,,,,auto,LW01_e_edges.csv:33,Combat victory followed by a random-number result.
e0033,17,274,combat,formula,,combat_win(17) * 0.2,,,,,,auto,LW01_e_edges.csv:34,Combat victory followed by a random-number result.
e0034,17,316,combat,formula,,combat_win(17) * 0.7,,,,,,auto,LW01_e_edges.csv:35,Combat victory followed by a random-number result.
e0035,17,Death,combat,formula,,1 - combat_win(17),,,,,,auto,generated:combat_death:17,Implicit death when the combat is lost.
e0036,18,114,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,auto,LW01_e_edges.csv:36,Kai route is taken whenever the discipline is available.
e0037,18,239,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(18, 239)",,,cautious,neutral,physical,auto,LW01_e_edges.csv:37,Choice among routes remaining when the Kai route is unavailable.
e0038,18,29,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(18, 29)",,,reckless,neutral,physical,auto,LW01_e_edges.csv:38,Choice among routes remaining when the Kai route is unavailable.
e0039,19,69,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,auto,LW01_e_edges.csv:39,Kai route is taken whenever the discipline is available.
e0040,19,272,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(19, 272)",,,cautious,neutral,neutral,auto,LW01_e_edges.csv:40,Choice among routes remaining when the Kai route is unavailable.
e0041,19,119,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(19, 119)",,,reckless,neutral,physical,auto,LW01_e_edges.csv:41,Choice among routes remaining when the Kai route is unavailable.
e0042,20,273,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:42,
e0043,21,189,random,constant,0.60,,,,,,,supervised,LW01_supervision.csv:2,Aggregate success probability: 0.5 + 0.5 * 0.2.
e0044,21,312,random,constant,0.04,,,,,,,supervised,LW01_supervision.csv:3,Third-draw success probability: 0.5 * 0.8 * 0.1.
e0045,21,Death,random,constant,0.36,,,,,,,supervised,LW01_supervision.csv:4,Implicit death probability: 0.5 * 0.8 * 0.9.
e0046,22,181,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:46,
e0047,22,145,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:47,
e0048,23,326,profile_choice,formula,,"available_choice_share(23, 326, condition_available(""has_item"", ""Golden Key""))",has_item,Golden Key,cautious,neutral,tactical,supervised,LW01_supervision.csv:5,Choice to use the Golden Key when it is available.
e0049,23,151,profile_choice,formula,,"available_choice_share(23, 151, kai_available(""Mind Over Matter""))",kai_discipline,Mind Over Matter,cautious,neutral,tactical,supervised,LW01_supervision.csv:6,Choice to use Mind Over Matter when it is available.
e0050,23,337,profile_choice,formula,,"available_choice_share(23, 337, 1)",,,neutral,neutral,physical,supervised,LW01_supervision.csv:7,Unconditionally available choice to remove the pin.
e0051,24,234,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:51,
e0052,24,184,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:52,
e0053,25,139,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:53,
e0054,26,249,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:54,
e0055,26,100,profile_choice,profile_choice,,,,,cautious,neutral,neutral,auto,LW01_e_edges.csv:55,
e0056,27,250,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:56,
e0057,27,52,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:57,
e0058,28,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:58,
e0059,28,147,profile_choice,profile_choice,,,,,neutral,neutral,neutral,auto,LW01_e_edges.csv:59,
e0060,29,270,combat,formula,,combat_win(29),,,,,,auto,LW01_e_edges.csv:60,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed."
e0061,29,Death,combat,formula,,1 - combat_win(29),,,,,,auto,generated:combat_death:29,Implicit death when the combat is lost.
e0062,30,194,profile_choice,profile_choice,,,,,reckless,noble,physical,auto,LW01_e_edges.csv:61,
e0063,30,261,profile_choice,profile_choice,,,,,cautious,selfish,physical,auto,LW01_e_edges.csv:62,
e0064,31,264,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:63,
e0065,32,176,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:64,
e0066,32,340,profile_choice,profile_choice,,,,,reckless,neutral,physical,auto,LW01_e_edges.csv:65,
e0067,33,248,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:66,
e0068,34,328,combat,formula,,combat_win(34),,,,,,auto,LW01_e_edges.csv:67,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists. Deduction of 2 COMBAT SKILL points unless Mindshield is possessed."
e0069,34,Death,combat,formula,,1 - combat_win(34),,,,,,auto,generated:combat_death:34,Implicit death when the combat is lost.
e0070,35,207,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:68,
e0071,36,140,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:69,Loss of 2 ENDURANCE points during the transition
e0072,36,323,random,constant,0.5,,,,,,,auto,LW01_e_edges.csv:70,
e0073,37,282,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,auto,LW01_e_edges.csv:71,Kai route is taken whenever the discipline is available.
e0074,37,289,profile_choice,formula,,"1 - kai_available(""Camouflage"")",,,reckless,neutral,neutral,auto,LW01_e_edges.csv:72,Choice among routes remaining when the Kai route is unavailable.
e0075,38,128,profile_choice,profile_choice,,,,,reckless,neutral,tactical,auto,LW01_e_edges.csv:73,
e0076,38,347,profile_choice,profile_choice,,,,,cautious,neutral,tactical,auto,LW01_e_edges.csv:74,
e0077,39,228,forced,constant,1,,,,,,,auto,LW01_e_edges.csv:75,
