task,input_id,field,human_value,model_value,status,human_evidence,model_evidence,human_justification,model_justification
individual,T0001,perceived_profile.risk.label,cautious,cautious,match,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S001-C01"",""S026-C01"",""S035-C02""]}","Avoidable danger is repeatedly sidestepped through cover, waiting, evasion, and bypassing nearby conflict. This cautious tendency is substantial but not uniform, because the trajectory also chooses a direct charge through Doomwolves and prepares to fight suspicious soldiers.","The player repeatedly chooses paths that minimize exposure to danger or utilize skills to avoid conflict. Evidence includes using Sixth Sense to avoid tracked paths (S001-C01), hiding from a Kraan (S003-C01), choosing the safer path after tracking reveals a bear (S005-C01), hiding from Doomwolves (S026-C01), and evading a fight with a madman (S035-C02). Counterevidence exists in the decision to charge Doomwolves (S018-C02) and fight bandits (S029-C03), but these are often reactive or forced by circumstance, whereas the avoidance patterns are consistent proactive choices."
individual,T0001,perceived_profile.risk.support,mixed,clear,disagreement,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S001-C01"",""S026-C01"",""S035-C02""]}","Avoidable danger is repeatedly sidestepped through cover, waiting, evasion, and bypassing nearby conflict. This cautious tendency is substantial but not uniform, because the trajectory also chooses a direct charge through Doomwolves and prepares to fight suspicious soldiers.","The player repeatedly chooses paths that minimize exposure to danger or utilize skills to avoid conflict. Evidence includes using Sixth Sense to avoid tracked paths (S001-C01), hiding from a Kraan (S003-C01), choosing the safer path after tracking reveals a bear (S005-C01), hiding from Doomwolves (S026-C01), and evading a fight with a madman (S035-C02). Counterevidence exists in the decision to charge Doomwolves (S018-C02) and fight bandits (S029-C03), but these are often reactive or forced by circumstance, whereas the avoidance patterns are consistent proactive choices."
individual,T0001,perceived_profile.morality.label,unclear,noble,human_abstention,"{""counterevidence"":[""S010-C02""],""supporting"":[""S011-C01""]}","{""counterevidence"":[""S010-C02"",""S030-C01""],""supporting"":[""S006-C01"",""S011-C01""]}","The clearest moral evidence is confined to the wagon episode: the player first runs for personal cover, then returns to defend the children. The reversal leaves too little repeated evidence elsewhere to support a stable moral orientation.","The player shows a tendency to help others, such as approaching refugees to reassure them (S006-C01) and returning to defend children after initially fleeing (S011-C01). However, this is contradicted by the initial choice to flee from the children in danger (S010-C02) and the decision to kill three bandits rather than surrender or evade (S030-C01), which prioritizes self-preservation and resource gain (looting bodies) over mercy or non-violence. The profile is mixed because the noble acts are significant but not exclusive."
individual,T0001,perceived_profile.morality.support,insufficient,mixed,human_abstention,"{""counterevidence"":[""S010-C02""],""supporting"":[""S011-C01""]}","{""counterevidence"":[""S010-C02"",""S030-C01""],""supporting"":[""S006-C01"",""S011-C01""]}","The clearest moral evidence is confined to the wagon episode: the player first runs for personal cover, then returns to defend the children. The reversal leaves too little repeated evidence elsewhere to support a stable moral orientation.","The player shows a tendency to help others, such as approaching refugees to reassure them (S006-C01) and returning to defend children after initially fleeing (S011-C01). However, this is contradicted by the initial choice to flee from the children in danger (S010-C02) and the decision to kill three bandits rather than surrender or evade (S030-C01), which prioritizes self-preservation and resource gain (looting bodies) over mercy or non-violence. The profile is mixed because the noble acts are significant but not exclusive."
individual,T0001,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S029-C03"",""S018-C02""],""supporting"":[""S001-C01"",""S016-C01"",""S026-C01""]}","The trajectory often favors cover, waiting, avoidance, and disengagement rather than direct confrontation. Several direct-risk choices recur, however, so the tactical orientation is noticeable without being fully consistent.","The player consistently prefers observation, concealment, and strategic movement over direct confrontation. Key evidence includes using Sixth Sense (S001-C01), Tracking (S004-C01), Camouflage (S016-C01), hiding from enemies (S003-C01, S026-C01), and evading fights (S035-C02). Even when combat occurs, it is often a result of being forced into it or a calculated risk (charging to break through), but the dominant pattern is tactical avoidance and preparation."
individual,T0001,perceived_profile.action.support,mixed,clear,disagreement,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S029-C03"",""S018-C02""],""supporting"":[""S001-C01"",""S016-C01"",""S026-C01""]}","The trajectory often favors cover, waiting, avoidance, and disengagement rather than direct confrontation. Several direct-risk choices recur, however, so the tactical orientation is noticeable without being fully consistent.","The player consistently prefers observation, concealment, and strategic movement over direct confrontation. Key evidence includes using Sixth Sense (S001-C01), Tracking (S004-C01), Camouflage (S016-C01), hiding from enemies (S003-C01, S026-C01), and evading fights (S035-C02). Even when combat occurs, it is often a result of being forced into it or a calculated risk (charging to break through), but the dominant pattern is tactical avoidance and preparation."
individual,T0001,causal_continuity.label,continuous,continuous,match,[],[],"No unsupported dependency or explicit contradiction was found. Changes of course, including fleeing the wagon and then returning when the children are seen under direct attack, are motivated by information introduced in the intervening scene.","The narrative flow is logical. Transitions follow the player's choices and the game's mechanical rules (e.g., Kai disciplines, combat outcomes). There are no explicit contradictions or unsupported dependencies. For example, the transition from S010 to S011 (fleeing then returning) is a valid player choice sequence. The transition from S037 to S038 is a random resolution, which is a valid game mechanic, not a causal gap."
individual,T0001,profile_coherence.label,mixed,coherent,disagreement,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S010-C02"",""S029-C03""],""supporting"":[""S001-C01"",""S016-C01"",""S011-C01""]}","A cautious, tactical tendency is readable across many choices, but direct confrontation recurs and the wagon sequence reverses the moral direction immediately.","The decisions form a stable profile of a cautious, tactical player who is generally noble but pragmatic. The few instances of direct action (fighting bandits, charging wolves) do not contradict the overall pattern of seeking safety and using skills to avoid danger; rather, they represent necessary actions when avoidance is no longer viable or when the player chooses to take a calculated risk. The moral ambiguity (fleeing then returning) is a common narrative arc for a hero, maintaining coherence."
individual,T0004,perceived_profile.risk.label,cautious,cautious,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S008-C02"",""S024-C02""]}","{""counterevidence"":[""S021-C02""],""supporting"":[""S004-C04"",""S016-C02"",""S027-C02""]}","The player repeatedly avoids exposed routes, hazardous terrain, combat, uncertain encounters, and immediate threats, often choosing cover or retreat. A few exploratory or danger-seeking choices occur, but they are exceptions to the dominant pattern.","The player repeatedly chooses paths that minimize exposure to danger or allow for escape. Evidence includes avoiding the battle at Raumas to preserve the mission (S004-C04), avoiding the Sleeptooth briars by returning to the track (S008-C02), leaving the gem to run from approaching Giaks (S016-C02), avoiding the unknown tunnel initially (S020-C02), and fleeing the battle at the bridge where the Prince is fighting (S027-C02). Counterevidence is limited to entering the tunnel only after being forced by an aerial threat (S021-C02), which is still a defensive maneuver."
individual,T0004,perceived_profile.risk.support,clear,clear,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S008-C02"",""S024-C02""]}","{""counterevidence"":[""S021-C02""],""supporting"":[""S004-C04"",""S016-C02"",""S027-C02""]}","The player repeatedly avoids exposed routes, hazardous terrain, combat, uncertain encounters, and immediate threats, often choosing cover or retreat. A few exploratory or danger-seeking choices occur, but they are exceptions to the dominant pattern.","The player repeatedly chooses paths that minimize exposure to danger or allow for escape. Evidence includes avoiding the battle at Raumas to preserve the mission (S004-C04), avoiding the Sleeptooth briars by returning to the track (S008-C02), leaving the gem to run from approaching Giaks (S016-C02), avoiding the unknown tunnel initially (S020-C02), and fleeing the battle at the bridge where the Prince is fighting (S027-C02). Counterevidence is limited to entering the tunnel only after being forced by an aerial threat (S021-C02), which is still a defensive maneuver."
individual,T0004,perceived_profile.morality.label,selfish,selfish,match,"{""counterevidence"":[],""supporting"":[""S004-C04"",""S027-C02""]}","{""counterevidence"":[""S010-C01""],""supporting"":[""S004-C04"",""S027-C02""]}","When another person's danger is explicit, the trajectory twice prioritizes personal survival or the mission: it abandons the threatened wizard and later runs rather than defend the fallen Prince. No comparably clear prosocial player choice offsets these decisions.","The player explicitly prioritizes their mission and personal survival over helping others in distress. They abandon a wizard under attack (S004-C04) and flee a wounded Prince (S027-C02). However, they also investigate a potentially dangerous hut area after detecting tracks (S010-C01), which could imply a desire to understand the situation or help, though the outcome was merely looting. The repeated abandonment of allies suggests a selfish orientation, but the lack of active malice keeps it from being purely malicious."
individual,T0004,perceived_profile.morality.support,clear,mixed,disagreement,"{""counterevidence"":[],""supporting"":[""S004-C04"",""S027-C02""]}","{""counterevidence"":[""S010-C01""],""supporting"":[""S004-C04"",""S027-C02""]}","When another person's danger is explicit, the trajectory twice prioritizes personal survival or the mission: it abandons the threatened wizard and later runs rather than defend the fallen Prince. No comparably clear prosocial player choice offsets these decisions.","The player explicitly prioritizes their mission and personal survival over helping others in distress. They abandon a wizard under attack (S004-C04) and flee a wounded Prince (S027-C02). However, they also investigate a potentially dangerous hut area after detecting tracks (S010-C01), which could imply a desire to understand the situation or help, though the outcome was merely looting. The repeated abandonment of allies suggests a selfish orientation, but the lack of active malice keeps it from being purely malicious."
individual,T0004,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[""S026-C01""],""supporting"":[""S006-C02"",""S021-C02"",""S024-C02""]}","{""counterevidence"":[],""supporting"":[""S001-C01"",""S004-C04"",""S027-C02""]}","Avoidance, cover, retreat, route selection, and disengagement dominate the player's voluntary actions. Direct physical confrontation is generally not chosen when a strategic alternative is available.","The player consistently prefers observation, stealth, and avoidance over direct confrontation. They use Sixth Sense to scout (S001-C01), hide from Kraans (S003), avoid the battle at Raumas (S004-C04), sneak through the forest to avoid Giaks (S006-C02), approach the huts stealthily (S009-C01), and flee the bridge battle (S027-C02). Even when combat is forced (Vordak, Burrowcrawler), the player's prior choices were aimed at avoiding such encounters."
individual,T0004,perceived_profile.action.support,clear,clear,match,"{""counterevidence"":[""S026-C01""],""supporting"":[""S006-C02"",""S021-C02"",""S024-C02""]}","{""counterevidence"":[],""supporting"":[""S001-C01"",""S004-C04"",""S027-C02""]}","Avoidance, cover, retreat, route selection, and disengagement dominate the player's voluntary actions. Direct physical confrontation is generally not chosen when a strategic alternative is available.","The player consistently prefers observation, stealth, and avoidance over direct confrontation. They use Sixth Sense to scout (S001-C01), hide from Kraans (S003), avoid the battle at Raumas (S004-C04), sneak through the forest to avoid Giaks (S006-C02), approach the huts stealthily (S009-C01), and flee the bridge battle (S027-C02). Even when combat is forced (Vordak, Burrowcrawler), the player's prior choices were aimed at avoiding such encounters."
individual,T0004,causal_continuity.label,continuous,continuous,match,[],[],The trajectory proceeds through explicit consequences and motivated route changes. No required fact appears without prior support and no contradiction breaks the sequence.,"The narrative flow is logical. The player's decisions lead directly to the described outcomes. For example, fleeing the battle leads to being spotted by Giaks (S005), which leads to a chase (S006). Entering the tunnel leads to the Burrowcrawler encounter (S022). There are no apparent contradictions or unsupported jumps in logic."
individual,T0004,profile_coherence.label,coherent,coherent,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S021-C02"",""S027-C02""]}","{""counterevidence"":[],""supporting"":[""S004-C04"",""S027-C02"",""S001-C01""]}","The choices form a stable self-preserving, tactical pattern, with only a small number of exploratory or danger-accepting exceptions.","The player maintains a consistent profile of a cautious, tactical individual who prioritizes their mission and survival over altruism. The decision to flee the Prince (S027-C02) aligns with the earlier decision to abandon the wizard (S004-C04). The preference for stealth and avoidance is consistent throughout the trajectory."
individual,T0009,perceived_profile.risk.label,reckless,neutral,disagreement,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S009-C01"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S019-C01"",""S005-C01""],""supporting"":[""S003-C01"",""S017-C02"",""S038-C02""]}","The player repeatedly accepts avoidable danger by helping under aerial attack, fighting the Giaks, charging through Doomwolves, remaining exposed on the highway, and later choosing another fight. Tactical retreats also recur, so the risk orientation is strong but not uniform.","The player exhibits a mix of caution and recklessness. Cautious behaviors include hiding from the Kraan (S003), avoiding the bear path (S005), and veering off the highway to escape a diving Kraan (S019). Reckless behaviors include charging head-on into Doomwolves (S017-S018) and attempting a dangerous roof jump (S038). Neither pole dominates exclusively."
individual,T0009,perceived_profile.risk.support,mixed,mixed,match,"{""counterevidence"":[""S013-C02"",""S019-C01""],""supporting"":[""S009-C01"",""S017-C02"",""S025-C02""]}","{""counterevidence"":[""S019-C01"",""S005-C01""],""supporting"":[""S003-C01"",""S017-C02"",""S038-C02""]}","The player repeatedly accepts avoidable danger by helping under aerial attack, fighting the Giaks, charging through Doomwolves, remaining exposed on the highway, and later choosing another fight. Tactical retreats also recur, so the risk orientation is strong but not uniform.","The player exhibits a mix of caution and recklessness. Cautious behaviors include hiding from the Kraan (S003), avoiding the bear path (S005), and veering off the highway to escape a diving Kraan (S019). Reckless behaviors include charging head-on into Doomwolves (S017-S018) and attempting a dangerous roof jump (S038). Neither pole dominates exclusively."
individual,T0009,perceived_profile.morality.label,noble,noble,match,"{""counterevidence"":[],""supporting"":[""S009-C01"",""S010-C01""]}","{""counterevidence"":[""S006-C02""],""supporting"":[""S009-C01"",""S010-C01"",""S033-C01""]}",The clearest moral sequence is strongly prosocial: the player chooses to help endangered children and then voluntarily stays to fight their attackers rather than flee to safety. Other choices provide little direct moral counterevidence.,"The player repeatedly prioritizes helping others or fulfilling a duty over personal safety or convenience. They choose to help children in a wagon under attack (S009) and fight the attackers (S010). They also choose to follow the officer to the citadel (S033) rather than going alone, showing trust in the chain of command, and ultimately accept the quest to save the land (S042). While they avoided a group of refugees earlier (S006), the active choice to engage in combat to save children is a strong moral indicator."
individual,T0009,perceived_profile.morality.support,clear,clear,match,"{""counterevidence"":[],""supporting"":[""S009-C01"",""S010-C01""]}","{""counterevidence"":[""S006-C02""],""supporting"":[""S009-C01"",""S010-C01"",""S033-C01""]}",The clearest moral sequence is strongly prosocial: the player chooses to help endangered children and then voluntarily stays to fight their attackers rather than flee to safety. Other choices provide little direct moral counterevidence.,"The player repeatedly prioritizes helping others or fulfilling a duty over personal safety or convenience. They choose to help children in a wagon under attack (S009) and fight the attackers (S010). They also choose to follow the officer to the citadel (S033) rather than going alone, showing trust in the chain of command, and ultimately accept the quest to save the land (S042). While they avoided a group of refugees earlier (S006), the active choice to engage in combat to save children is a strong moral indicator."
