source_id,target_id,edge_text,transition_type,realisation_value,semantic_risk,semantic_morality,semantic_action,warnings
1,141,"If you wish to use your Kai Discipline of Sixth Sense, turn to 141.",conditional,If you wish to use your Kai Discipline of Sixth Sense,,,,
1,85,"If you wish to take the right path into the wood, turn to 85.",explicit_choice,,neutral,neutral,neutral,
1,275,"If you wish to follow the left track, turn to 275.",explicit_choice,,neutral,neutral,neutral,
2,343,"If you have picked a number 0–4, turn to 343.",stochastic,If you have picked a number 0–4,,,,
2,276,"If you have picked a number 5–9, turn to 276.",stochastic,If you have picked a number 5–9,,,,
12,262,"If you have 10 Gold Crowns and wish to pay him, turn to 262.",conditional,If you have 10 Gold Crowns and wish to pay him,,,,
12,247,"If you do not have enough Gold Crowns or do not wish to pay him, turn to 247.",conditional,If you do not have enough Gold Crowns or do not wish to pay him,,,,
21,189,"If it is below 5, your horse has suddenly plunged into thick mud up to its belly. If the number is 5 or above, you manage to steer clear of the morass and may now turn to 189.",stochastic,,,,,
21,189,"If you are stuck, pick another number from the Random Number Table. If this time the number is 7 or less, the mud engulfs you up to your armpits. Your horse gives one last despairing scream as its muzzle disappears into the bubbling mud. If you scored above 7, you drag yourself onto firm ground and turn to 189.",stochastic,,,,,This choice is only possible if the first choice failed
21,312,"If not, then this is your last chance! If you pick any number except a 9, the foul-smelling bog sucks you under and claims another victim. Your life and your mission end here. But if you have picked a 9, turn to 312.",stochastic,,,,,This choice is only possible if the first choice failed. Contain an implicit dead end (death)
23,326,"If you have a Golden Key and wish to use it, turn to 326.",conditional,If you have a Golden Key and wish to use it,,,,
23,151,"If you have the Kai Discipline of Mind Over Matter, turn to 151.",conditional,If you have the Kai Discipline of Mind Over Matter,,,,
23,337,"If you wish to remove the pin, turn to 337.",explicit_choice,,reckless,neutral,neutral,
27,250,"If you choose to attack, turn to 250.",explicit_choice,,reckless,neutral,physical,
27,52,"If you choose to listen to what the voices say, turn to 52.",explicit_choice,,cautious,neutral,tactical,
97,255,"If you wish to defend the fallen Prince, turn to 255.",explicit_choice,,reckless,noble,physical,
97,306,"If you wish to run into the forest, turn to 306.",explicit_choice,,cautious,selfish,neutral,
104,26,"If you wish to turn north, go to 26.",explicit_choice,,neutral,neutral,neutral,
104,100,"If you wish to go south, turn to 100.",explicit_choice,,neutral,neutral,neutral,
125,301,"If you have the Kai Discipline of Tracking, turn to 301.",conditional,,,,,
125,27,"If you wish to take the south path, turn to 27.",explicit_choice,,neutral,neutral,neutral,
125,214,"If you wish to take the west path, turn to 214.",explicit_choice,,neutral,neutral,neutral,
131,241,"If you wish to shout a warning to the wizard, turn to 241.",explicit_choice,,neutral,neutral,tactical,
131,55,"If you wish to run forward and attack the Giak when he jumps, turn to 55.",explicit_choice,,reckless,noble,physical,
131,302,"If you wish to pick up a chunk of temple marble and throw it at the Giak’s head, turn to 302.",explicit_choice,,neutral,noble,physical,
131,101,"Or if you would rather turn and leave the battle area and run back into the woods, turn to 101.",explicit_choice,,cautious,selfish,neutral,
153,202,"If you will try your luck by the highway, turn to 202.",explicit_choice,,neutral,neutral,neutral,
153,135,If you feel that you stand a better chance of reaching the capital via the river then turn to 135.,explicit_choice,,neutral,neutral,physical,
153,329,"Or if you are brave enough to risk the unknown perils of the Graveyard of the Ancients, turn to 329.",explicit_choice,,reckless,neutral,neutral,
203,80,"If you have 10 or more ENDURANCE points left, turn to 80.",conditional,If you have 10 or more ENDURANCE points left,,,,
203,344,"If you now have less than 10 ENDURANCE points, turn to 344.",conditional,If you now have less than 10 ENDURANCE points,,,,
220,24,"If you win, turn to 24.",conditional,If you win,,,,
220,234,"If you wish to evade combat at any time during the fight, you can jump from the speeding caravan by turning to 234.",explicit_choice,,reckless,neutral,physical,
227,271,"If you lose any ENDURANCE points in the combat, turn to 271.",conditional,If you lose any ENDURANCE points in the combat,,,,
227,348,"If you kill it without losing any ENDURANCE points, turn to 348.",conditional,If you kill it without losing any ENDURANCE points,,,,
276,213,Lose 1 ENDURANCE point and turn to 213.,forced,,,,,Loss of 1 ENDURANCE point during the transition
294,230,"If the number you pick is 0–2, turn to 230.",stochastic,If the number you pick is 0–2,,,,
294,190,"If the number is 3–6, turn to 190.",stochastic,If the number is 3–6,,,,
294,321,"If the number is 7–9, turn to 321.",stochastic,If the number is 7–9,,,,
303,237,"If you have the Kai Discipline of Camouflage, turn to 237.",conditional,If you have the Kai Discipline of Camouflage,,,,
303,72,"If you do not, turn to 72.",conditional,If you do not,,,,
333,131,Turn to 131.,forced,,,,,
334,48,"If you wish to use the Kai Discipline of Sixth Sense, turn to 48.",conditional,If you wish to use the Kai Discipline of Sixth Sense,,,,
334,73,"If you wish to use the Kai Discipline of Camouflage and wait for them to pass, turn to 73.",conditional,If you wish to use the Kai Discipline of Camouflage and wait for them to pass,,,,
334,162,"If you wish to approach them, turn to 162.",explicit_choice,,neutral,neutral,neutral,
339,94,"If you kill him within 4 rounds of Combat, turn to 94.",conditional,If you kill him within 4 rounds of Combat,,,,Based on a rare condition : combat speed
339,203,"If you are still fighting after 4 rounds of Combat, turn to 203.",conditional,If you are still fighting after 4 rounds of Combat,,,,Based on a rare condition : combat speed
339,7,"You may evade combat by escaping through the front door at any stage of the fight, by turning to 7.",explicit_choice,,cautious,neutral,physical,
