source_id,review_reason,text_content,phase1_edges_json
21,unsupported_random_rule: successive or conditional random draws,You have ridden about two miles into the tangle of trees when the ground becomes very marshy. Pick a number from the Random Number Table.,"[{""source_id"": ""21"", ""target_id"": ""189"", ""edge_text"": ""If it is below 5, your horse has suddenly plunged into thick mud up to its belly. If the number is 5 or above, you manage to steer clear of the morass and may now turn to 189."", ""transition_type"": ""stochastic"", ""realisation_value"": ""If it is below 5"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""21"", ""target_id"": ""189"", ""edge_text"": ""If you are stuck, pick another number from the Random Number Table. If this time the number is 7 or less, the mud engulfs you up to your armpits. Your horse gives one last despairing scream as its muzzle disappears into the bubbling mud. If you scored above 7, you drag yourself onto firm ground and turn to 189."", ""transition_type"": ""stochastic"", ""realisation_value"": ""If you are stuck, pick another number from the Random Number Table. If this time the number is 7 or less"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": ""This choice is only possible if the first choice failed""}, {""source_id"": ""21"", ""target_id"": ""312"", ""edge_text"": ""If not, then this is your last chance! If you pick any number except a 9, the foul-smelling bog sucks you under and claims another victim. Your life and your mission end here. But if you have picked a 9, turn to 312."", ""transition_type"": ""stochastic"", ""realisation_value"": ""If not, then this is your last chance! If you pick any number except a 9"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": ""This choice is only possible if the first choice failed. Contain an implicit dead end (death)""}]"
23,kai_condition_mixed_with_another_condition,"The corridor soon widens into a large hall. At the far end, a stone staircase leads up to a huge door. Two black candles on either side of the stone steps dimly illuminate the chamber. You notice that no wax has melted, and as you get nearer you can feel that they give off no heat. Ancient engravings cover the stone surfaces of the walls. Anxious to leave this evil tomb, you examine the door for a latch. An ornate pin appears to lock the door, but there is also a keyhole in the lockplate.","[{""source_id"": ""23"", ""target_id"": ""326"", ""edge_text"": ""If you have a Golden Key and wish to use it, turn to 326."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you have a Golden Key and wish to use it"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""23"", ""target_id"": ""151"", ""edge_text"": ""If you have the Kai Discipline of Mind Over Matter, turn to 151."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you have the Kai Discipline of Mind Over Matter"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""23"", ""target_id"": ""337"", ""edge_text"": ""If you wish to remove the pin, turn to 337."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""neutral"", ""semantic_morality"": ""neutral"", ""semantic_action"": ""physical"", ""warnings"": """"}]"
43,combat_with_escape_or_postcombat_choice,"From behind the rock a huge black bear comes into view. It advances slowly towards you, its mouth open and its face lined in anger and pain. You notice that it is badly wounded and is bleeding from its neck and back. You must fight it. Black Bear: COMBAT SKILL 16   ENDURANCE 10","[{""source_id"": ""43"", ""target_id"": ""195"", ""edge_text"": ""If you win, turn to 195."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": ""Based on combat outcome""}, {""source_id"": ""43"", ""target_id"": ""106"", ""edge_text"": ""After three rounds of combat, you position yourself so that you can run down the hill. If you wish to evade at this time then turn to 106 and chance being wounded as you flee."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""cautious"", ""semantic_morality"": ""neutral"", ""semantic_action"": ""physical"", ""warnings"": ""Requires waiting 3 rounds; risk of injury during escape""}]"
112,combat_with_escape_or_postcombat_choice,"Suddenly, the large rock you are hiding behind is rolled aside and you are faced by two snarling Giaks intent on your death. The cave mouth is a narrow entrance and you can only fight the Giaks one at a time. Giak 1: COMBAT SKILL 13   ENDURANCE 10 Giak 2: COMBAT SKILL 12   ENDURANCE 10","[{""source_id"": ""112"", ""target_id"": ""33"", ""edge_text"": ""If you win, you may explore the cave further by turning to 33."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": ""Based on combat outcome""}, {""source_id"": ""112"", ""target_id"": ""248"", ""edge_text"": ""Or you may leave and descend the hill. Turn to 248."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""cautious"", ""semantic_morality"": ""selfish"", ""semantic_action"": ""physical"", ""warnings"": """"}]"
169,combat_with_escape_or_postcombat_choice,"As you pass each skull, it slowly turns, as if watching your every move. You are halfway across the room when you hear the sharp crack of bone splitting. Suddenly you see hideous shapes hatching inside the skulls, and stretching their wings. Ten slimy winged creatures attack you, and you must fight them as one enemy. Crypt Spawn: COMBAT SKILL 16   ENDURANCE 16","[{""source_id"": ""169"", ""target_id"": ""23"", ""edge_text"": ""You may evade more fighting after the first round of combat and run for the archway by turning to 23."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""cautious"", ""semantic_morality"": ""selfish"", ""semantic_action"": ""physical"", ""warnings"": """"}, {""source_id"": ""169"", ""target_id"": ""137"", ""edge_text"": ""If you win the combat, turn to 137."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win the combat"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}]"
180,combat_with_escape_or_postcombat_choice,"They see you raise your weapon, and they instantly attack you. If you decide to fight them, you must fight them one at a time. Leader: COMBAT SKILL 15   ENDURANCE 22 Soldier 1: COMBAT SKILL 13   ENDURANCE 20 Soldier 2: COMBAT SKILL 12   ENDURANCE 20","[{""source_id"": ""180"", ""target_id"": ""62"", ""edge_text"": ""If you kill all three of them, turn to 62."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you kill all three of them"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""180"", ""target_id"": ""22"", ""edge_text"": ""If you wish to evade combat, turn to 22."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""cautious"", ""semantic_morality"": ""neutral"", ""semantic_action"": ""tactical"", ""warnings"": """"}]"
191,combat_with_escape_or_postcombat_choice,The bodyguard unsheathes a large scimitar and strikes at your head. Bodyguard: COMBAT SKILL 11   ENDURANCE 21,"[{""source_id"": ""191"", ""target_id"": ""24"", ""edge_text"": ""If you win, turn to 24."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""191"", ""target_id"": ""234"", ""edge_text"": ""If you wish to evade more combat during the fight, you can jump from the speeding caravan by turning to 234."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""reckless"", ""semantic_morality"": ""neutral"", ""semantic_action"": ""physical"", ""warnings"": """"}]"
208,combat_with_multiple_conditional_outcomes,The ghoulish creatures thrust their spears at you and attack. Fight these creatures as a single enemy. Giaks: COMBAT SKILL 15   ENDURANCE 13,"[{""source_id"": ""208"", ""target_id"": ""148"", ""edge_text"": ""If you win, you can run to the safety of the farmhouse by turning to 148."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""208"", ""target_id"": ""320"", ""edge_text"": ""Or you can return to the woods by turning to 320."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": ""Implicitly requires winning the combat to make this choice""}]"
220,combat_with_escape_or_postcombat_choice,The bodyguard unsheathes a scimitar and lunges for your head. Bodyguard: COMBAT SKILL 11   ENDURANCE 20,"[{""source_id"": ""220"", ""target_id"": ""24"", ""edge_text"": ""If you win, turn to 24."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you win"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""220"", ""target_id"": ""234"", ""edge_text"": ""If you wish to evade combat at any time during the fight, you can jump from the speeding caravan by turning to 234."", ""transition_type"": ""explicit_choice"", ""realisation_value"": """", ""semantic_risk"": ""reckless"", ""semantic_morality"": ""neutral"", ""semantic_action"": ""physical"", ""warnings"": """"}]"
227,combat_outcome_depends_on_endurance_loss,You are now up to your waist in slimy water. The air is thick with small insects that sting your face and clog your nose. Something wraps itself around your leg. It is a Marshviper and you must fight it. Marshviper: COMBAT SKILL 16   ENDURANCE 6,"[{""source_id"": ""227"", ""target_id"": ""271"", ""edge_text"": ""If you lose any ENDURANCE points in the combat, turn to 271."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you lose any ENDURANCE points in the combat"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}, {""source_id"": ""227"", ""target_id"": ""348"", ""edge_text"": ""If you kill it without losing any ENDURANCE points, turn to 348."", ""transition_type"": ""conditional"", ""realisation_value"": ""If you kill it without losing any ENDURANCE points"", ""semantic_risk"": """", ""semantic_morality"": """", ""semantic_action"": """", ""warnings"": """"}]"
